customer_id,first_name,last_name,gender,birth_date,age,location
67,Isaiah,Juarez,Male,1992-08-21,31,Modesto
68,Hazel,Fisher,Female,2004-11-30,18,Laredo
69,Brayden,Sandoval,Male,2003-12-15,19,Madison
70,Zachary,Quinn,Male,1978-09-25,45,Chula Vista
71,Aubrey,Blake,Female,1984-01-10,39,Norfolk
72,Oliver,Ramos,Male,1991-06-18,32,Chandler
73,Ariana,Ortiz,Female,1997-03-27,26,Lubbock
74,Wyatt,Frazier,Male,1975-11-22,48,Garland
75,Bella,Simmons,Female,1998-02-17,25,Greensboro
76,Sebastian,Patel,Male,1986-06-14,37,Hialeah
77,Camila,Ross,Female,1983-10-28,39,Fremont
78,Aaron,Snow,Male,2000-05-21,23,Richmond
79,Alexa,Walsh,Female,1993-06-01,30,Boise
80,Nicholas,Schmidt,Male,1989-12-19,33,Baton Rouge
81,Luna,Brewer,Female,2001-01-17,22,Santa Clarita
82,Adam,Cummings,Male,1982-07-15,41,Des Moines
83,Maya,Barron,Female,1996-10-02,27,Spokane
84,Blake,Bridges,Male,1998-11-07,24,Tallahassee
85,Lucy,Estrada,Female,1979-04-08,44,Grand Rapids
86,Theodore,Klein,Male,1987-12-20,35,Jackson
87,Alexis,Pena,Female,1994-03-11,29,Huntington Beach
88,Owen,Craig,Male,1999-09-29,24,Salt Lake City
89,Stella,Saunders,Female,1984-07-22,39,Little Rock
90,Grayson,Powers,Male,1992-11-03,31,Amarillo
91,Julia,Nash,Female,1990-01-22,33,Montgomery
92,Derek,Rhodes,Male,1976-08-16,46,Yonkers
93,Sophie,Vaughn,Female,1997-12-28,25,Akron
94,Hudson,Monroe,Male,1980-12-06,42,Augusta
95,Morgan,Curtis,Female,1982-11-23,40,Glendale
96,Landon,Farrell,Male,1991-07-14,32,Grand Prairie
97,Paisley,Doyle,Female,1988-09-30,34,Columbus
98,Carlos,Morris,Male,1979-05-26,44,Toledo
99,Hazel,Keller,Female,1990-10-18,32,Oxnard
100,Kevin,Shields,Male,1985-03-04,38,Fontana
101,Bethany,Yates,Female,1993-07-02,30,Huntsville
102,Julian,Patrick,Male,2005-06-05,18,Santa Rosa
103,Molly,Steele,Female,1981-09-12,42,Vancouver
104,Jasper,Reeves,Male,1985-01-16,38,Aurora
105,Josephine,Wells,Female,1999-02-19,24,St. Petersburg
106,Bentley,Mason,Male,1991-01-13,32,Lakewood
107,Madeline,Hammond,Female,1990-04-04,33,North Las Vegas
108,Cameron,Harper,Male,1983-07-27,40,Chesapeake
109,Riley,Holland,Female,1989-02-22,34,Shreveport
110,Tristan,Morris,Male,1984-12-11,38,Gilbert
111,Claire,Lawson,Female,1998-01-05,25,Irving
112,Evan,Peters,Male,1995-02-10,28,Madison
113,Brooke,Maxwell,Female,1978-03-14,45,Scottsdale
114,Austin,Banks,Male,1987-03-22,36,Birmingham
115,Nora,Warren,Female,1996-06-08,27,Southern
116,Robert,Ford,Male,1992-08-02,31,Buffalo
117,Savannah,Snyder,Female,2002-09-21,20,Corpus Christi
118,Connor,Kim,Male,1986-04-17,37,Riverside
119,Maddox,Riley,Female,1995-06-30,28,Anaheim
120,Lucas,Mckinney,Male,1988-05-05,35,Oakland
121,Jade,Chan,Female,2003-08-18,19,Chattanooga
122,Eric,Mills,Male,1994-12-24,28,Orlando
123,Sierra,Hunt,Female,1984-08-19,39,Fargo
124,Gavin,Harvey,Male,1973-07-19,50,Lansing
125,Scarlet,Chapman,Female,1987-10-07,35,Casper
126,Mark,Gallagher,Male,1991-04-09,32,Miami
127,Elena,Stokes,Female,2000-11-30,22,Louisville
128,Jasper,Cooper,Male,1990-06-23,33,Philadelphia
129,Aiden,Silver,Female,1983-06-15,40,Boston
130,Jaxson,Cameron,Male,2000-09-09,22,Las Vegas
131,Emma,Monroe,Female,1977-04-04,46,Memphis
132,Tristan,Curtis,Male,1999-05-23,24,Baltimore
133,Jade,Hunter,Female,1986-08-14,37,Ft. Lauderdale
134,Lilian,Lowe,Female,1995-03-17,28,Austin
135,Bryan,Adams,Male,1985-09-25,38,San Francisco
136,Sadie,Watson,Female,1974-10-28,49,Houston
137,Nathan,Scott,Male,1984-02-25,39,Los Angeles
138,Maya,Murray,Female,1991-11-05,32,Chicago
139,Sean,Powell,Male,1996-07-25,27,Detroit
140,Tessa,Grant,Female,1993-10-18,30,Seattle
141,Leonardo,Maddox,Male,2000-01-19,23,Newark
142,Chloe,Shields,Female,1992-03-22,31,Minneapolis
143,Eli,Benson,Male,2001-12-20,21,Springfield
144,Megan,Hogan,Female,1978-05-07,45,Tampa
145,Gideon,Vargas,Male,1989-08-23,34,Tulsa
146,Layla,Alexander,Female,1983-02-04,40,Atlanta
147,Dylan,McCarthy,Male,1986-04-30,37,Washington
148,Sydney,Howell,Female,1991-06-18,32,Dallas
149,Elliot,Barnes,Male,1999-05-18,24,New Orleans
150,Alyssa,West,Female,1975-10-20,48,Miami
151,Christopher,Walton,Male,1981-01-15,42,San Diego
152,Brooke,Cook,Female,1989-12-04,33,Sacramento
153,Ethan,Nichols,Male,1986-03-30,37,Boston
154,Kaylee,Holland,Female,1993-11-02,30,Las Vegas
155,Luke,Garcia,Male,2002-06-12,21,Indianapolis
156,Jasmine,Steele,Female,1983-09-09,39,Phoenix
157,Logan,Griffin,Male,1990-04-25,33,San Antonio
158,Riley,Lamb,Female,1997-07-10,25,New York
159,Jack,Martinez,Male,1986-07-29,37,Philadelphia
160,Paige,Ford,Female,1984-05-26,39,Detroit
161,Kyle,Turner,Male,2001-04-02,22,Jacksonville
162,Gabriella,Baker,Female,1982-02-04,41,Baltimore
163,Levi,Diaz,Male,1977-09-14,46,Austin
164,Hannah,Ford,Female,1994-12-01,28,El Paso
165,Evan,Wright,Male,1980-11-18,43,Fort Worth
166,Clara,Ramsey,Female,1990-01-07,33,Milwaukee
167,Max,Shaw,Male,1985-06-16,38,Charlotte
168,Elena,Miles,Female,1989-04-10,34,Columbus
169,Oscar,Herrera,Male,1974-11-29,48,Memphis
170,Aubrey,Butler,Female,1998-02-25,25,Providence
171,Leo,Walsh,Male,2003-07-08,20,Long Beach
172,Charlotte,Reid,Female,1987-08-24,36,Wichita
173,Xander,Thomson,Male,1988-05-17,35,Nashville
174,Scarlett,Caldwell,Female,1984-12-02,38,Louisville
175,Wyatt,Patel,Male,1995-04-09,28,Washington
176,Ella,Norman,Female,1996-02-26,27,Seattle
177,Jonathan,Hudson,Male,1981-06-19,42,Miami
178,Kaitlyn,Garner,Female,1999-03-25,24,Atlanta
179,Calvin,Russell,Male,1976-11-13,46,Portsma
180,Peyton,Page,Female,1984-07-01,39,Newark
181,Brian,Strickland,Male,1980-09-30,43,Columbia
182,Olivia,Hamilton,Female,1990-12-05,32,Tucson
183,Finn,Cross,Male,1999-08-11,24,San Diego
184,Hailey,Dean,Female,1997-03-13,26,Indianapolis
185,Eric,Frost,Male,1985-10-20,37,Kansas City
186,Margaret,Harley,Female,1988-12-08,34,Lincoln
187,Asher,Davidson,Male,1986-05-06,37,New Orleans
188,Josephine,Bailey,Female,1991-07-20,32,Virginia Beach
189,Harvey,Hodge,Male,2000-02-15,22,Milwaukee
190,Melanie,Smith,Female,1983-04-03,40,New York
191,Edward,Macias,Male,1994-06-28,29,Los Angeles
192,Sophia,Brock,Female,2001-11-01,21,Chicago
193,Luca,Owens,Male,1979-05-08,44,Houston
194,Rebecca,Higgins,Female,1996-04-21,27,Phoenix
195,Amelia,Palmer,Female,2002-09-14,20,Philadelphia
196,George,Watkins,Male,1982-10-21,40,San Antonio
197,April,Hoffman,Female,1981-01-27,42,Dallas
198,Charles,English,Male,1999-06-13,23,San Jose
199,Leah,Horn,Female,1976-10-03,46,Austin
200,Thomas,Bishop,Male,1995-02-05,28,Fort Worth
